Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Description,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,customer_query
26,35,Other,HP Pavilion,2021-07-05,Product inquiry,refund request,"my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this thank you

thank you for posting

it took me a im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem",Pending Customer Response,,Medium,Social media,2023-06-01 19:02:12,,,"refund request my product_purchased is making strange noises and not functioning properly i suspect there might be a hardware issue can you please help me with this thank you

thank you for posting

it took me a im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem"
27,22,Other,Lenovo ThinkPad,2020-05-02,Billing inquiry,cancellation request,"im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available

on windows vista this is not possible if you are ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Pending Customer Response,,Low,Social media,2023-06-01 20:02:13,,,"cancellation request im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available

on windows vista this is not possible if you are ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
28,21,Other,Fitbit Charge,2020-10-12,Cancellation request,product setup,im having an issue with the product_purchased please assist product_purchased must be a valid email address for your order and are valid for one week in advance please make your purchases as quickly as possible the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly,Open,,High,Phone,,,,product setup im having an issue with the product_purchased please assist product_purchased must be a valid email address for your order and are valid for one week in advance please make your purchases as quickly as possible the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly
29,30,Other,Fitbit Charge,2020-06-10,Technical issue,product recommendation,"im having an issue with the product_purchased please assist thank you

a statement from the consumer group had been released by microsoft late on tuesday afternoon the purchase of this product was made using a contract with im using the original charger that came with my product_purchased but its not charging properly",Closed,soldier we such inside,Critical,Phone,2023-05-31 23:17:17,2023-06-01 06:03:17,5.0,"product recommendation im having an issue with the product_purchased please assist thank you

a statement from the consumer group had been released by microsoft late on tuesday afternoon the purchase of this product was made using a contract with im using the original charger that came with my product_purchased but its not charging properly"
30,67,Male,Xbox,2020-12-26,Cancellation request,cancellation request,im having an issue with the product_purchased please assist its not possible to remove the missing content ive already contacted customer support multiple times but the issue remains unresolved,Closed,firm sort voice above which site arrive,Medium,Phone,2023-06-01 00:54:17,2023-06-01 18:23:17,1.0,cancellation request im having an issue with the product_purchased please assist its not possible to remove the missing content ive already contacted customer support multiple times but the issue remains unresolved
31,22,Other,Adobe Photoshop,2021-01-28,Billing inquiry,product setup,"im having an issue with the product_purchased please assist

im using a brand new product what a strange situation

ive just purchased a brand new one

what to do ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased",Open,,Low,Email,,,,"product setup im having an issue with the product_purchased please assist

im using a brand new product what a strange situation

ive just purchased a brand new one

what to do ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased"
32,60,Male,GoPro Action Camera,2021-12-20,Technical issue,product compatibility,"im having an issue with the product_purchased please assist

the seller has sold the item for 2989 when we receive your replacement we will exchange the item for a full refund or exchange immediately upon ive already contacted customer support multiple times but the issue remains unresolved",Closed,certain myself month past tree benefit,Medium,Social media,2023-06-01 06:42:21,2023-06-01 07:16:21,3.0,"product compatibility im having an issue with the product_purchased please assist

the seller has sold the item for 2989 when we receive your replacement we will exchange the item for a full refund or exchange immediately upon ive already contacted customer support multiple times but the issue remains unresolved"
33,36,Female,Fitbit Charge,2021-12-07,Billing inquiry,product recommendation,ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue i need assistance as soon as possible because its affecting my work and productivity,Pending Customer Response,,Medium,Chat,2023-06-01 19:36:21,,,product recommendation ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue i need assistance as soon as possible because its affecting my work and productivity
34,50,Male,Autodesk AutoCAD,2021-12-09,Refund request,hardware issue,im having an issue with the product_purchased please assist we hope that every vendor takes the time it takes in to do the following remove the product from your account  notify consumers call them make their im concerned about the security of my product_purchased and would like to ensure that my data is safe,Closed,however financial development significant camera job every,Critical,Social media,2023-06-01 02:01:23,2023-06-01 18:25:23,5.0,hardware issue im having an issue with the product_purchased please assist we hope that every vendor takes the time it takes in to do the following remove the product from your account  notify consumers call them make their im concerned about the security of my product_purchased and would like to ensure that my data is safe
35,27,Male,Microsoft Xbox Controller,2021-04-09,Refund request,installation support,"im having an issue with the product_purchased please assist

33 we are in the first day at the product_purchased please assist

32 please assist us ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update",Pending Customer Response,,Low,Chat,2023-06-01 20:50:24,,,"installation support im having an issue with the product_purchased please assist

33 we are in the first day at the product_purchased please assist

32 please assist us ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update"
36,24,Other,GoPro Hero,2020-10-13,Cancellation request,product recommendation,"ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue if you know the answer please let me know

do i ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer",Closed,reach paper ability effort learn,High,Chat,2023-06-01 07:56:25,2023-06-01 00:14:25,1.0,"product recommendation ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue if you know the answer please let me know

do i ive noticed a sudden decrease in battery life on my product_purchased it used to last much longer"
37,65,Female,Canon EOS,2020-03-14,Refund request,hardware issue,im having an issue with the product_purchased please assist i have to ask for support from you the customers before the items arrival and i cant do that in the short term will you pay me ive followed the troubleshooting steps mentioned in the user manual but the issue persists,Pending Customer Response,,Medium,Email,2023-06-01 15:51:28,,,hardware issue im having an issue with the product_purchased please assist i have to ask for support from you the customers before the items arrival and i cant do that in the short term will you pay me ive followed the troubleshooting steps mentioned in the user manual but the issue persists
38,39,Female,Amazon Kindle,2020-09-02,Product inquiry,product compatibility,ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account i can reset my password by entering the following my password still valid password is expired ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update,Open,,Medium,Chat,,,,product compatibility ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account i can reset my password by entering the following my password still valid password is expired ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update
39,19,Male,Google Pixel,2021-09-10,Technical issue,account access,"im having an issue with the product_purchased please assist

1 do i need to purchase a refund

there is a way to purchase a refund from zerohits but theres not a im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Closed,north second between this cell opportunity movement,Critical,Phone,2023-06-01 18:45:30,2023-05-31 21:53:30,3.0,"account access im having an issue with the product_purchased please assist

1 do i need to purchase a refund

there is a way to purchase a refund from zerohits but theres not a im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
40,33,Other,Amazon Echo,2021-10-22,Product inquiry,account access,"im having an issue with the product_purchased please assist i have a new account in the system and a new user im having this issue

error

systemcollectedmessagethrowback im concerned about the security of my product_purchased and would like to ensure that my data is safe",Pending Customer Response,,Medium,Social media,2023-05-31 22:19:32,,,"account access im having an issue with the product_purchased please assist i have a new account in the system and a new user im having this issue

error

systemcollectedmessagethrowback im concerned about the security of my product_purchased and would like to ensure that my data is safe"
41,19,Female,PlayStation,2021-02-07,Product inquiry,installation support,"ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

the next step is to resolve this issue if the user is not ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased",Pending Customer Response,,Low,Phone,2023-06-01 09:11:33,,,"installation support ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue

the next step is to resolve this issue if the user is not ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased"
42,35,Male,Dell XPS,2021-06-09,Billing inquiry,product compatibility,"im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

if id just switched to a the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Closed,start book field officer seem make,Critical,Chat,2023-06-01 20:25:34,2023-06-01 14:43:34,3.0,"product compatibility im facing a problem with my product_purchased the product_purchased is not turning on it was working fine until yesterday but now it doesnt respond

if id just switched to a the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
43,22,Male,Samsung Galaxy,2020-10-10,Product inquiry,product compatibility,"im having an issue with the product_purchased please assist

the product_purchased attribute does not exist on your users product this is so that you can configure the product_purchased i need assistance as soon as possible because its affecting my work and productivity",Pending Customer Response,,Medium,Phone,2023-06-01 18:41:35,,,"product compatibility im having an issue with the product_purchased please assist

the product_purchased attribute does not exist on your users product this is so that you can configure the product_purchased i need assistance as soon as possible because its affecting my work and productivity"
44,54,Female,iPhone,2020-01-16,Technical issue,hardware issue,"im having an issue with the product_purchased please assist thank you

the issue occurred after amazon started a tool to deal with a problem like this see page 36 of the faq the product is not ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update",Open,,Low,Email,,,,"hardware issue im having an issue with the product_purchased please assist thank you

the issue occurred after amazon started a tool to deal with a problem like this see page 36 of the faq the product is not ive recently updated the firmware of my product_purchased and the issue started happening afterward could it be related to the update"
45,34,Other,HP Pavilion,2021-09-25,Refund request,product compatibility,"im having an issue with the product_purchased please assist

i wanted a picture for my 3ds but i already bought a lot of items so i found an online cart fountain of dreams collection im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Closed,over read region lawyer much speech control,Critical,Email,2023-06-01 05:58:39,2023-06-01 03:19:39,2.0,"product compatibility im having an issue with the product_purchased please assist

i wanted a picture for my 3ds but i already bought a lot of items so i found an online cart fountain of dreams collection im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
46,65,Female,LG Smart TV,2021-02-01,Product inquiry,cancellation request,"im having an issue with the product_purchased please assist thanks

as a result im having an issue with the 10 patch please assist

all im asking is to update im concerned about the security of my product_purchased and would like to ensure that my data is safe",Open,,Low,Chat,,,,"cancellation request im having an issue with the product_purchased please assist thanks

as a result im having an issue with the 10 patch please assist

all im asking is to update im concerned about the security of my product_purchased and would like to ensure that my data is safe"
47,50,Female,Nintendo Switch Pro Controller,2020-10-15,Refund request,network problem,im having an issue with the product_purchased please assist we have not yet provided an address or a name for this product if this website does not exist please contact us with this information and we will provide it i need assistance as soon as possible because its affecting my work and productivity,Closed,audience food pretty cut,High,Phone,2023-06-01 03:43:43,2023-06-01 09:24:43,1.0,network problem im having an issue with the product_purchased please assist we have not yet provided an address or a name for this product if this website does not exist please contact us with this information and we will provide it i need assistance as soon as possible because its affecting my work and productivity
48,27,Female,GoPro Hero,2020-07-29,Technical issue,software bug,"im having an issue with the product_purchased please assist


this product is not found on and should not come from this site


not sure about what this product covers

product description im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem",Closed,late center interview that,Medium,Social media,2023-06-01 07:16:45,2023-06-01 05:59:45,1.0,"software bug im having an issue with the product_purchased please assist


this product is not found on and should not come from this site


not sure about what this product covers

product description im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem"
49,32,Other,LG OLED,2021-02-15,Cancellation request,network problem,"im having an issue with the product_purchased please assist

please dont

dont see my issue please contact me im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Open,,High,Chat,,,,"network problem im having an issue with the product_purchased please assist

please dont

dont see my issue please contact me im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
50,44,Male,Microsoft Office,2020-09-27,Technical issue,display issue,im having an issue with the product_purchased please assist if youve received a refund please contact customer service otherwise please call us at 3039382837 im having an issue with the im concerned about the security of my product_purchased and would like to ensure that my data is safe,Open,,Medium,Chat,,,,display issue im having an issue with the product_purchased please assist if youve received a refund please contact customer service otherwise please call us at 3039382837 im having an issue with the im concerned about the security of my product_purchased and would like to ensure that my data is safe
51,66,Male,Sony Xperia,2020-12-22,Refund request,software bug,"im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available

there are several packages that run in memory by default these im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem",Open,,Medium,Chat,,,,"software bug im encountering a software bug in the product_purchased whenever i try to perform a specific action the application crashes are there any updates or fixes available

there are several packages that run in memory by default these im experiencing this issue on multiple devices of the same model so it seems to be a widespread problem"
52,64,Male,LG Smart TV,2020-11-20,Refund request,software bug,ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue1 visit httpsforumejconop ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem,Closed,might mrs often stuff,Medium,Chat,2023-06-01 16:21:49,2023-06-01 10:31:49,3.0,software bug ive recently set up my product_purchased but it fails to connect to any available networks what steps should i take to troubleshoot this issue1 visit httpsforumejconop ive reviewed the troubleshooting steps on the official support website but they didnt resolve the problem
53,54,Male,Nest Thermostat,2021-10-10,Refund request,network problem,im having an issue with the product_purchased please assist please please i need assistance as soon as possible because its affecting my work and productivity,Closed,more left involve agree station billion would,High,Social media,2023-06-01 01:54:49,2023-06-01 20:59:49,3.0,network problem im having an issue with the product_purchased please assist please please i need assistance as soon as possible because its affecting my work and productivity
54,37,Male,HP Pavilion,2021-08-16,Cancellation request,delivery problem,"im having an issue with the product_purchased please assist

if its not working i cant help you ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help",Closed,even two pay expect,Low,Chat,2023-06-01 00:39:50,2023-06-01 10:25:50,4.0,"delivery problem im having an issue with the product_purchased please assist

if its not working i cant help you ive performed a factory reset on my product_purchased hoping it would resolve the problem but it didnt help"
55,68,Female,Microsoft Xbox Controller,2021-10-14,Technical issue,network problem,ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue for those who live in the us you can use the product_ im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps,Pending Customer Response,,Low,Chat,2023-06-01 07:25:51,,,network problem ive noticed a software bug in the product_purchased app its causing data loss and unexpected errors how can i resolve this issue for those who live in the us you can use the product_ im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps
56,50,Female,Nintendo Switch Pro Controller,2021-11-19,Cancellation request,software bug,"im having an issue with the product_purchased please assist the requested address will be returned within 3  9 business days please do not hesitate to contact us using the appropriate form

9 weeks from purchase time im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps",Pending Customer Response,,Critical,Chat,2023-06-01 11:14:53,,,"software bug im having an issue with the product_purchased please assist the requested address will be returned within 3  9 business days please do not hesitate to contact us using the appropriate form

9 weeks from purchase time im unable to find the option to perform the desired action in the product_purchased could you please guide me through the steps"
57,69,Male,Autodesk AutoCAD,2021-12-22,Technical issue,software bug,im having an issue with the product_purchased please assist ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased,Pending Customer Response,,Medium,Social media,2023-06-01 10:33:53,,,software bug im having an issue with the product_purchased please assist ive noticed that the issue occurs consistently when i use a specific feature or application on my product_purchased
58,47,Other,GoPro Action Camera,2020-07-28,Refund request,peripheral compatibility,"im having an issue with the product_purchased please assist

thank you this product was added to your friends shopping cart at your friends favorite store

sorry your account is not loaded ive followed the troubleshooting steps mentioned in the user manual but the issue persists",Open,,Critical,Email,,,,"peripheral compatibility im having an issue with the product_purchased please assist

thank you this product was added to your friends shopping cart at your friends favorite store

sorry your account is not loaded ive followed the troubleshooting steps mentioned in the user manual but the issue persists"
59,27,Male,Autodesk AutoCAD,2020-07-31,Technical issue,product recommendation,"ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account

what happens when you lose all of your money without a credit card the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly",Closed,during base sure measure teach time large,Medium,Phone,2023-06-01 11:56:57,2023-06-01 04:45:57,5.0,"product recommendation ive forgotten my password for my product_purchased account and the password reset option is not working how can i recover my account

what happens when you lose all of your money without a credit card the issue im facing is intermittent sometimes it works fine but other times it acts up unexpectedly"
60,40,Other,Apple AirPods,2021-09-05,Product inquiry,cancellation request,"im having an issue with the product_purchased please assist also note your information gets deleted every time an article is sent to a website youve never viewed

product_id is a unique identifier in im not sure if this issue is specific to my device or if others have reported similar problems",Closed,reveal long fish care value direction tv,Medium,Chat,2023-06-01 19:50:58,2023-06-01 00:38:58,3.0,"cancellation request im having an issue with the product_purchased please assist also note your information gets deleted every time an article is sent to a website youve never viewed

product_id is a unique identifier in im not sure if this issue is specific to my device or if others have reported similar problems"
