Ticket_ID,Actual_Category,Actual_Subcategory,Retrieved_Category,Retrieved_Subcategory,Score,Correct
690928,Hardware,Laptop motherboard short circuit,Hardware,Laptop motherboard short circuit,1.0416,True
50314,Software,Application crash on framework,Software,Application crash on framework,0.9898,True
780882,Network,SSID not visible,Network,SSID not visible,0.938,True
18959,Access,Access denied by mobile device policy,Access,Access denied by mobile device policy,1.0798,True
804704,Software,Registry error,Software,Registry error,0.9065,True
8986,Hardware,Laptop screen orange tint,Hardware,Laptop screen orange tint,1.0086,True
99902,Hardware,Laptop casing cracked,Hardware,Laptop casing cracked,0.9934,True
655319,Hardware,Hard drive crash,Hardware,Hard drive crash,0.9714,True
224929,Hardware,Fan noise issue,Hardware,Fan noise issue,0.9895,True
926626,Software,Email client not syncing,Software,Email client not syncing,1.0135,True
67899,Network,Network driver outdated,Network,Network driver outdated,0.9793,True
68879,Network,Network port scanning detected,Network,Network port scanning detected,1.0342,True
904485,Software,Email client not syncing,Software,Email client not syncing,1.0135,True
244300,Access,Kerberos ticket expired,Access,Kerberos ticket expired,0.9877,True
912238,Hardware,Monitor flickering,Hardware,Monitor flickering,0.8869,True
803685,Network,Network MTU mismatch,Network,Network MTU mismatch,0.984,True
444937,Network,Network collision detected,Network,Network collision detected,0.9888,True
895959,Software,Software timeout,Software,Software timeout,0.8886,True
858829,Software,Licensing issue,Software,Licensing issue,0.9084,True
575348,Hardware,Hardware driver missing,Hardware,Hardware driver missing,0.9764,True
464017,Access,Access denied by API,Access,Access denied by API,0.9919,True
196830,Software,Application crash on logout,Software,Application crash on logout,0.9898,True
309024,Access,Access denied by conditional access,Access,Access denied by conditional access,1.0438,True
347382,Access,Access denied by password policy,Access,Access denied by password policy,1.0534,True
310805,Security,Suspicious JWT token use,Security,Suspicious JWT token use,1.0315,True
837524,Network,Network PAT misconfigured,Network,Network PAT misconfigured,0.984,True
268241,Network,Network tunneling error,Network,Network tunneling error,0.9837,True
366138,Software,Mobile app not installing,Software,Mobile app not installing,0.9905,True
449597,Security,Suspicious contractor compromise,Security,Suspicious contractor compromise,0.9854,True
586918,Software,Application crash on workflow,Software,Application crash on workflow,0.9898,True
980754,Software,Slow application performance,Software,Slow application performance,0.9806,True
51663,Hardware,Laptop screen resolution error,Hardware,Laptop screen resolution error,1.0087,True
892874,Software,Application crash on VM deployment,Software,Application crash on VM deployment,1.0405,True
576799,Software,Unsupported operating system version,Software,Unsupported operating system version,1.0133,True
480867,Software,Mobile app not installing,Software,Mobile app not installing,0.9905,True
550671,Hardware,Laptop screen black screen,Hardware,Laptop screen black screen,1.0191,True
584292,Software,Application crash on build,Software,Application crash on build,0.9898,True
362132,Software,Macro execution error,Software,Macro execution error,0.9913,True
